,PGE_valley,SCE
172,26590.06996586039,10089.237854684408
173,26720.92218794387,10264.504721883306
174,26905.377527408004,10430.815487310898
175,21600.512797030646,10131.167079799634
176,21462.20068050227,10256.56159556102
177,21484.609645131422,10509.621414248795
178,21704.48672892215,10802.058345418302
179,22401.8115171345,10915.059154682222
180,22898.167716176606,11041.228529397593
181,23270.701672941716,11075.120794036065
182,14106.158448925547,1186.19368385269
183,13662.912608870942,1321.5874273516101
184,13437.417115839999,1433.0358769079348
185,13046.378971077924,1568.0858722369921
186,12649.127167844032,1670.4694973977826
187,12577.256964746732,1745.5848573577205
188,12650.415278104483,1832.773653562359
189,4344.224551498613,103.74894731809991
190,3955.5680358145473,147.79279337658772
191,3475.691487497046,176.9876481616593
192,3568.8324572886486,224.9103988463744
193,3594.7528599614234,263.7491260828929
194,3637.7873371680726,290.40471079992085
195,3746.6373110516943,324.983861056131
196,0.0,65.05832485441897
197,0.0,69.57566097704148
198,0.0,76.22792575699168
199,0.0,102.76572556461588
200,0.0,120.95973961117897
201,0.0,178.71990947724726
202,0.0,243.68028608704117
203,0.0,665.024818981417
204,0.0,740.0205666884381
205,0.0,872.2032304672116
206,0.0,959.0251987753782
207,0.0,1033.543802080805
208,0.0,1037.81158654821
209,0.0,1085.699876067621
210,0.0,0.0
211,0.0,0.0
212,0.0,0.0
213,0.0,0.0
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,0.0,0.0
222,0.0,0.0
223,0.0,0.0
224,0.0,0.0
225,0.0,0.0
226,0.0,0.0
227,0.0,0.0
228,0.0,0.0
229,0.0,0.0
230,0.0,0.0
231,0.0,0.0
232,0.0,0.0
233,0.0,0.0
234,0.0,0.0
235,257.8493940208173,0.0
236,539.6985623420296,0.0
237,548.5491033501239,0.0
238,371.66717000824065,0.0
239,423.821851312543,0.0
240,545.7159317984624,0.0
241,560.354463331656,0.0
242,679.8121408363768,0.0
243,1102.3999414231985,0.0
244,1550.4736429402838,0.0
245,874.0732066111268,0.0
246,962.1255021872203,0.0
247,1079.4669515693422,0.0
248,1241.595006915235,0.0
249,1656.8670447511286,0.0
250,2193.992219340729,0.0
251,2661.6700602199307,0.0
252,3202.262380112197,0.0
253,3540.4878723687652,0.0
254,3454.9652594036634,0.0
255,3822.3792077966536,0.0
256,3961.4419373844976,0.0
257,4233.642215976757,0.0
258,4617.6696514460255,0.0
259,4064.0232026195226,0.0
260,3975.8425428798637,0.0
261,4310.433783524999,0.0
262,4703.6836811186,0.0
263,4943.0266324225995,0.0
264,5215.388008981698,0.0
265,5539.027503847541,0.0
266,4782.524855479676,0.0
267,5202.135129332059,0.0
268,5396.860576831541,0.0
269,5672.911308774439,0.0
270,5879.06271235492,0.0
271,6162.4200235393255,0.0
272,6285.073963399402,0.0
273,10063.114580596903,0.0
274,10101.099221321016,0.0
275,10136.894765747467,0.0
276,10278.457922761136,0.0
277,10396.18905970109,0.0
278,10636.977652555765,0.0
279,10620.319043628562,0.0
280,9593.72883094462,0.0
281,9486.322087655022,0.0
282,9310.91309426352,0.0
283,9250.132719531997,0.0
284,9373.227862118078,0.0
285,9141.840656410877,0.0
286,8920.399352970078,0.0
287,9087.417345842936,0.0
288,8954.315409218936,0.0
289,8728.370295654136,0.0
290,8570.294717526935,0.0
291,8440.346918359734,0.0
292,8150.193726668536,0.0
293,8094.136898830933,0.0
294,11403.996342527302,0.0
295,11332.093815017703,0.0
296,11402.366609026503,0.0
297,11339.012316930934,0.0
