,index,PNW
351,351,137318.40978849118
352,352,132236.78757924368
353,353,120244.21769241628
354,354,118691.47561527943
355,355,131054.40720941403
356,356,128341.22040325109
357,357,127898.19848454147
358,358,123244.4531504472
359,359,118497.28593065016
360,360,104352.30680351565
361,361,101190.44095940859
362,362,85877.12317275855
363,363,86316.61575758745
364,364,65402.21301742559
